OS,Casuistica,Fecha,Observacion
-28658306,brigada pesada,,
-28658311,ejecutado,,
121475614,ejecutado,,
-28657634,caja concentradora,,
-28658245,brigada pesada,,
121477067,ejecutado,,
121477375,ejecutado,,
-28659640,ejecutado,,
-28659631,brigada pesada,,
121475083,canasta,,
-28645461,canasta,,
-28659634,especial,,
121476397,ejecutado,,
-28659673,ejecutado,,
-28656772,especial,,
-28658371,brigada pesada,,
-28658259,brigada pesada,,
121477314,brigada pesada,,
-28658293,brigada pesada,,
-28658333,no programar,,
121473500,reincidente,,
-28659632,brigada pesada,,
-28658248,ejecutado,,
-28658272,ejecutado,,
-28654950,brigada pesada,,
-28659642,canasta,,
-28658251,ejecutado,,
121479653,canasta,,
-28659152,caja concentradora,,
-28659162,caja concentradora,,
121478415,especial,,
121488127,especial,,
12148932,ejecutado,,
-28659668,ejecutado,18/1/2025,
121482266,brigada pesada,,
121484222,brigada pesada,,
121488805,ejecutado,,
121486289,brigada pesada,,
121483064,ejecutado,,
121484092,brigada pesada,,
121489271,canasta,,
-28654951,especial,,
-28661459,especial,,
121489530,canasta,,
121490380,especial,,
121488293,ejecutado,,
121486332,ejecutado,,
121484123,ejecutado,,
121487085,ejecutado,,
121481729,canasta,,
121485246,brigada pesada,,
121486976,canasta,,
121480844,ejecutado,,
-28656651,ejecutado,,
121482960,ejecutado,,
121486889,ejecutado,,
121478453,ejecutado,,
121488656,canasta,,
121479657,ejecutado,,
121484285,ejecutado,,
121484400,ejecutado,,
121488684,ejecutado,,
121486970,brigada pesada,,
121478072,brigada pesada,,
121478417,canasta,,
121485303,brigada pesada,,
-28659643,canasta,,
-28605832,canasta,,
121492308,brigada pesada,,
121557082,ejecutado,,
121564947,ejecutado,20/1/2025,
-28662214,brigada pesada,,
121491942,canasta,,
121492301,canasta,,
-28662215,canasta,,
121492571,ejecutado,,
-28662217,canasta,,
121570600,ejecutado,,
121699061,brigada pesada,,
121561932,brigada pesada,,
121579374,ejecutado,,
-28661911,caja concentradora,,
121491628,ejecutado,,
121491871,brigada pesada,,
-28611491,canasta,,
-28661573,canasta,,
121782780,canasta,,
121775776,canasta,,
121776996,brigada pesada,,
121776353,especial,,
121783496,brigada pesada,21/1/2025,
121777005,ejecutado,,
121778180,brigada pesada,,
121778006,ejecutado,,
121610099,ejecutado,,
121781681,ejecutado,,
121602759,ejecutado,,
121778011,ejecutado,,
121773115,canasta,,
121775858,canasta,,
121776873,ejecutado,,
121783477,ejecutado,,
121557103,especial,,
121781923,brigada pesada,,
121777865,canasta,,
121699105,ejecutado,,
-28663377,brigada pesada,,
121557110,brigada pesada,,
121782835,ejecutado,,
121774693,brigada pesada,,
-28662218,ejecutado,,
121780888,ejecutado,,
121776445,brigada pesada,,
121776725,brigada pesada,,
121776754,brigada pesada,,
-28662414,ejecutado,,
121782743,ejecutado,,
121854264,caja concentradora,,
121492482,brigada pesada,,
-28661127,no programar,,
-28660521,no programar,,
-28661864,no programar,,
-28661457,no programar,,
121778194,caja concentradora,,
121898912,caja concentradora,,
121899699,caja concentradora,,
121895989,caja concentradora,,
121895061,caja concentradora,,
121867247,caja concentradora,,
121301308,canasta,,
-28661522,ejecutado,,
121895368,brigada pesada,,
121782740,brigada pesada,22/1/2025,
121899861,canasta,,
-28664205,brigada pesada,,
121783500,ejecutado,,
121784748,brigada pesada,,
121824097,brigada pesada,,
121851446,ejecutado,,
121789023,brigada pesada,,
121492521,ejecutado,,
-28662408,ejecutado,,
121898822,brigada pesada,,
121897523,ejecutado,,
-28664202,ejecutado,,
121898240,canasta,,
121898231,brigada pesada,,
121895208,ejecutado,,
121899900,ejecutado,,
-28663581,caja concentradora,,
121876239,ejecutado,,
121849239,ejecutado,,
121882811,ejecutado,,
121861041,ejecutado,,
121557093,brigada pesada,,
121895591,ejecutado,,
121853561,ejecutado,,
121783921,ejecutado,,
121867548,brigada pesada,,
121886127,ejecutado,,
121875265,ejecutado,,
121783556,brigada pesada,,
121894679,especial,,
121899507,canasta,,
121853583,brigada pesada,,
121849519,brigada pesada,,
121860033,ejecutado,,
121781344,brigada pesada,,
121899361,brigada pesada,,
121778153,canasta,,
121780482,brigada pesada,,
121780517,brigada pesada,,
121965711,canasta,,
121905149,especial,,
-28661909,canasta,,
121983295,ejecutado,,
121984354,ejecutado,,
121981744,ejecutado,,
121983521,ejecutado,23/1/2025,
121981930,ejecutado,,
121984064,ejecutado,,
121981437,ejecutado,,
121982332,ejecutado,,
121981242,ejecutado,,
121982963,ejecutado,,
121980853,ejecutado,,
121982090,ejecutado,,
121982680,ejecutado,,
121967433,canasta,,
-28664131,brigada pesada,,
121965441,brigada pesada,,
121994187,brigada pesada,,
121849518,brigada pesada,,
121961179,ejecutado,,
121958811,ejecutado,,
121978527,ejecutado,,
121965134,especial,,
121969387,ejecutado,,
121995092,canasta,,
121900139,brigada pesada,,
121979325,brigada pesada,,
-28664546,brigada pesada,,
121988158,ejecutado,,
-28664330,ejecutado,,
-28662219,brigada pesada,,
121960113,ejecutado,,
-28664356,canasta,,
121994983,ejecutado,,
121905455,especial,,
121937457,ejecutado,,
121995093,ejecutado,,
121994982,ejecutado,,
121962675,canasta,,
121970411,brigada pesada,,
121995489,brigada pesada,,
121962568,ejecutado,,
121975778,canasta,,
121965264,brigada pesada,,
121963030,121963030,,
-28664995,brigada pesada,,
121960239,brigada pesada,,
122060698,ejecutado,,
122100512,ejecutado,,
122100419,ejecutado,,
122100437,ejecutado,,
122100586,ejecutado,24/1/2025,
122100546,ejecutado,,
122100606,ejecutado,,
122100304,ejecutado,,
122100394,ejecutado,,
122100676,ejecutado,,
122100323,ejecutado,,
122100337,ejecutado,,
122100613,ejecutado,,
122100730,ejecutado,,
122100219,ejecutado,,
122100237,ejecutado,,
122100273,ejecutado,,
122100179,ejecutado,,
122100803,ejecutado,,
122100745,ejecutado,,
122100757,ejecutado,,
122100890,ejecutado,,
122100936,ejecutado,,
122101078,ejecutado,,
122100826,ejecutado,,
122100845,ejecutado,,
122100909,ejecutado,,
122105850,ejecutado,,
122100067,ejecutado,,
122100029,ejecutado,,
122100137,ejecutado,,
121784305,caja concentradora,,
122057498,ejecutado,,
122092641,brigada pesada,,
121961156,especial,,
122098341,brigada pesada,,
122096743,brigada pesada,,
122056830,brigada pesada,,
121964616,brigada pesada,,
121997554,brigada pesada,,
122091735,ejecutado,,
122054519,brigada pesada,,
121961850,ejecutado,,
122070097,ejecutado,,
122060736,ejecutado,,
-28665499,ejecutado,,
122058336,brigada pesada,,
122058628,ejecutado,,
122056235,ejecutado,,
122057439,ejecutado,,
122097972,ejecutado,,
122095859,brigada pesada,,
122062385,brigada pesada,,
122059315,ejecutado,,
122058473,ejecutado,,
122063239,ejecutado,,
122074997,ejecutado,,
122094187,ejecutado,,
122056321,especial,,
122088654,especial,,
122061860,canasta,,
121997783,brigada pesada,,
-28664059,ejecutado,,
121898408,ejecutado,,
-28662962,canasta,,
-28662965,canasta,,
-28662313,canasta,,
-28662315,canasta,,
-28662317,canasta,,
121975796,canasta,,
122060686,brigada pesada,,
-28665313,ejecutado,,
122097682,ejecutado,,
122055911,ejecutado,,
121781959,ejecutado,,
121985038,ejecutado,,
122056918,ejecutado,,
122098694,especial,,
-28665041,especial,,
122076005,ejecutado,,
122061075,ejecutado,,
122122916,ejecutado,,
-28665097,canasta,,
122108971,brigada pesada,,
121996154,ejecutado,25/1/2025,
121995756,ejecutado,,
122124563,canasta,,
122114890,canasta,,
122105160,canasta,,
122109750,canasta,,
122105768,brigada pesada,,
122103385,ejecutado,,
122117385,especial,,
122102692,brigada pesada,,
-28665765,brigada pesada,,
122058245,ejecutado,,
122097428,ejecutado,,
122057011,ejecutado,,
122107168,ejecutado,,
122116230,canasta,,
122103257,brigada pesada,,
122102452,ejecutado,,
122101986,brigada pesada,,
